<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20200812,153000,110.5,111.17,110.4,110.64,5684400,0
AAPL.US,5,20200812,153500,110.65,110.91,110.48,110.51,2604600,0
AAPL.US,5,20200812,154000,110.56,110.84,110.3,110.33,1538536,0
AAPL.US,5,20200812,154500,110.34,111.02,110.33,110.93,2552524,0
AAPL.US,5,20200812,155000,110.94,111.15,110.79,110.93,2532200,0
AAPL.US,5,20200812,155500,110.94,111.39,110.94,111.32,2688708,0
AAPL.US,5,20200812,160000,111.32,111.38,111.17,111.23,1761544,0
AAPL.US,5,20200812,160500,111.22,111.32,110.93,110.93,1842868,0
AAPL.US,5,20200812,161000,110.92,111.31,110.9,111.29,1172112,0
AAPL.US,5,20200812,161500,111.27,111.41,111.17,111.24,1506304,0
AAPL.US,5,20200812,162000,111.24,111.41,111.2,111.39,1279348,0
AAPL.US,5,20200812,162500,111.4,111.53,111.32,111.33,1902572,0
AAPL.US,5,20200812,163000,111.34,111.46,111.18,111.25,1623612,0
AAPL.US,5,20200812,163500,111.23,111.43,111.23,111.36,1088548,0
AAPL.US,5,20200812,164000,111.36,111.47,111.06,111.15,1395420,0
AAPL.US,5,20200812,164500,111.16,111.4,111.14,111.29,977044,0
AAPL.US,5,20200812,165000,111.29,111.68,111.28,111.67,1551780,0
AAPL.US,5,20200812,165500,111.67,111.85,111.58,111.77,2176352,0
AAPL.US,5,20200812,170000,111.76,111.83,111.61,111.64,1145136,0
AAPL.US,5,20200812,170500,111.64,111.85,111.6,111.84,1271308,0
AAPL.US,5,20200812,171000,111.85,112,111.8,111.9,1400792,0
AAPL.US,5,20200812,171500,111.9,112.17,111.89,112.16,1549932,0
AAPL.US,5,20200812,172000,112.17,112.25,112.08,112.25,1753584,0
AAPL.US,5,20200812,172500,112.25,112.29,112.07,112.14,1418600,0
AAPL.US,5,20200812,173000,112.14,112.3,112.14,112.23,1085084,0
AAPL.US,5,20200812,173500,112.23,112.29,112.17,112.27,1015632,0
AAPL.US,5,20200812,174000,112.28,112.43,112.28,112.35,1432752,0
AAPL.US,5,20200812,174500,112.35,112.46,112.29,112.41,1159928,0
AAPL.US,5,20200812,175000,112.42,112.5,112.2,112.29,1538692,0
AAPL.US,5,20200812,175500,112.3,112.43,112.24,112.39,1050124,0
AAPL.US,5,20200812,180000,112.38,112.64,112.36,112.54,2301968,0
AAPL.US,5,20200812,180500,112.53,112.97,112.53,112.85,2179376,0
