<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLA.US,5,20200812,153000,294,294.12,289,289.77,2883060,0
TSLA.US,5,20200812,153500,289.64,292.18,288.05,288.8,1264800,0
TSLA.US,5,20200812,154000,288.94,289.95,287.19,287.82,675595,0
TSLA.US,5,20200812,154500,288,290.21,287,289.47,957765,0
TSLA.US,5,20200812,155000,289.65,291.94,289,291.38,861975,0
TSLA.US,5,20200812,155500,291.26,292.44,290.45,292.24,663815,0
TSLA.US,5,20200812,160000,292.24,293.65,291.8,292.17,720390,0
TSLA.US,5,20200812,160500,292,295.55,291.91,294.2,1194060,0
TSLA.US,5,20200812,161000,294.18,294.8,293.21,294.67,498555,0
TSLA.US,5,20200812,161500,294.64,296.2,294.64,295.79,881895,0
TSLA.US,5,20200812,162000,295.79,297.23,295.02,296.67,789545,0
TSLA.US,5,20200812,162500,296.76,298,296.2,297.68,751000,0
TSLA.US,5,20200812,163000,297.73,299.3,296.76,297.33,1028485,0
TSLA.US,5,20200812,163500,297.39,298.03,295.68,296.29,623220,0
TSLA.US,5,20200812,164000,296.25,296.87,295,296.85,609655,0
TSLA.US,5,20200812,164500,296.98,297.6,295.76,296.93,524735,0
TSLA.US,5,20200812,165000,297,298.38,296.81,298.19,643955,0
TSLA.US,5,20200812,165500,298.2,299,297.26,298.53,500900,0
TSLA.US,5,20200812,170000,298.57,299.67,298.39,299,605440,0
TSLA.US,5,20200812,170500,299.07,300.48,298.84,300.16,987435,0
TSLA.US,5,20200812,171000,300.13,301.4,299.8,301.27,867725,0
TSLA.US,5,20200812,171500,301.36,301.45,299.62,300.85,656115,0
TSLA.US,5,20200812,172000,300.85,301.28,299.55,300.12,391955,0
TSLA.US,5,20200812,172500,300.09,300.56,299.06,299.67,438385,0
TSLA.US,5,20200812,173000,299.75,300.2,298,298.5,469545,0
TSLA.US,5,20200812,173500,298.59,299.46,298.03,299.4,329360,0
TSLA.US,5,20200812,174000,299.44,300.55,299.11,300.43,399395,0
TSLA.US,5,20200812,174500,300.38,300.45,299.82,300.1,208405,0
TSLA.US,5,20200812,175000,300.09,300.75,298.8,299.54,362775,0
TSLA.US,5,20200812,175500,299.6,300,299.35,299.67,186885,0
TSLA.US,5,20200812,180000,299.71,299.9,299.04,299.68,228655,0
TSLA.US,5,20200812,180500,299.7,300.6,299.68,300.54,336750,0
TSLA.US,5,20200812,181000,300.52,301.98,300.12,301.71,447020,0
TSLA.US,5,20200812,181500,301.69,302.9,301.6,302.07,701100,0
TSLA.US,5,20200812,182000,302.14,302.8,301.3,301.76,398435,0
TSLA.US,5,20200812,182500,301.83,303.36,301.47,303.3,541575,0
TSLA.US,5,20200812,183000,303.31,303.37,302.6,303.15,459305,0
TSLA.US,5,20200812,183500,303.15,303.31,301.8,302.34,455805,0
TSLA.US,5,20200812,184000,302.34,303.6,302.25,303.4,395570,0
TSLA.US,5,20200812,184500,303.29,303.49,302.69,303.04,309000,0
TSLA.US,5,20200812,185000,303.09,303.4,302.62,303.31,243010,0
TSLA.US,5,20200812,185500,303.27,303.92,302.04,302.2,499925,0
TSLA.US,5,20200812,190000,302.27,304.69,302.15,304.08,696630,0
TSLA.US,5,20200812,190500,304,305.6,303.98,305.55,714900,0
TSLA.US,5,20200812,191000,305.6,307.18,305.14,307.16,1013565,0
TSLA.US,5,20200812,191500,307.03,307.2,304.65,305.04,803030,0
TSLA.US,5,20200812,192000,304.9,306.48,304.9,306.13,605060,0
TSLA.US,5,20200812,192500,306.08,306.3,305.11,305.61,331735,0
TSLA.US,5,20200812,193000,305.6,307.72,305.6,307.36,571210,0
TSLA.US,5,20200812,193500,307.41,308,306.73,307.64,739545,0
TSLA.US,5,20200812,194000,307.66,309.12,307.57,308.6,734715,0
TSLA.US,5,20200812,194500,308.66,309.61,308.6,309.08,798165,0
TSLA.US,5,20200812,195000,309.05,309.2,308.28,309.19,424165,0
TSLA.US,5,20200812,195500,309.18,311.5,309.14,311.31,1126440,0
TSLA.US,5,20200812,200000,311.52,311.6,310.2,311.01,687920,0
TSLA.US,5,20200812,200500,311.05,312.4,311,311.6,920045,0
TSLA.US,5,20200812,201000,311.6,313.4,311.2,313.02,718245,0
TSLA.US,5,20200812,201500,313.16,315.89,312.59,314.65,1386975,0
TSLA.US,5,20200812,202000,314.65,317,313.53,316.17,1382350,0
TSLA.US,5,20200812,202500,316.08,317,313.2,313.2,1080750,0
TSLA.US,5,20200812,203000,313.38,314.96,311.65,312.34,948220,0
TSLA.US,5,20200812,203500,312.09,313.58,311.45,311.56,843425,0
TSLA.US,5,20200812,204000,311.49,314.94,311.45,313.9,792285,0
TSLA.US,5,20200812,204500,313.88,314.8,312.65,312.76,547590,0
TSLA.US,5,20200812,205000,312.61,313.4,311.5,311.85,503325,0
TSLA.US,5,20200812,205500,311.8,312.45,310.24,311.39,774825,0
TSLA.US,5,20200812,210000,311.34,313.4,311.34,311.56,721510,0
TSLA.US,5,20200812,210500,311.51,311.8,309.16,309.79,703525,0
TSLA.US,5,20200812,211000,309.6,310.86,309.16,310.82,726950,0
TSLA.US,5,20200812,211500,310.86,311.6,310.03,311.11,513350,0
TSLA.US,5,20200812,212000,311.13,311.13,309.28,309.75,424215,0
TSLA.US,5,20200812,212500,309.8,309.8,307.33,308.56,856400,0
TSLA.US,5,20200812,213000,308.6,308.7,306.2,307.87,943315,0
TSLA.US,5,20200812,213500,307.82,309.9,307.04,309.88,784685,0
TSLA.US,5,20200812,214000,309.75,311,309,310.38,760995,0
TSLA.US,5,20200812,214500,310.4,310.97,309.18,310.34,610460,0
TSLA.US,5,20200812,215000,310.15,311.02,308.85,309.28,609715,0
TSLA.US,5,20200812,215500,309.36,311.48,309.08,310.95,1539345,0
TSLA.US,5,20200813,153000,322.2,325.23,318.8,319.82,3444890,0
TSLA.US,5,20200813,153500,319.96,322.22,319.38,320.6,1171890,0
TSLA.US,5,20200813,154000,320.22,321.4,317.02,319.19,978460,0
TSLA.US,5,20200813,154500,319.39,319.76,314.53,315.99,1272815,0
TSLA.US,5,20200813,155000,315.99,317.74,313.45,313.85,1131120,0
TSLA.US,5,20200813,155500,314.07,319.57,314.07,319.37,1279820,0
TSLA.US,5,20200813,160000,319.38,321.12,317.5,321.12,1357655,0
TSLA.US,5,20200813,160500,321.07,322.89,319.78,320.92,1490965,0
TSLA.US,5,20200813,161000,321,322.68,320.25,321.6,792435,0
TSLA.US,5,20200813,161500,321.6,322.15,319.4,321.59,1004945,0
TSLA.US,5,20200813,162000,321.62,324.2,321.62,322.59,1235715,0
TSLA.US,5,20200813,162500,322.64,325.4,322.64,325.38,958950,0
TSLA.US,5,20200813,163000,325.4,328.77,324.6,328.17,1720140,0
TSLA.US,5,20200813,163500,328.24,330.24,327,329.48,1699490,0
TSLA.US,5,20200813,164000,329.48,329.48,326.57,326.61,1339130,0
TSLA.US,5,20200813,164500,326.74,328.77,326.18,328.51,849180,0
TSLA.US,5,20200813,165000,328.52,328.77,324.8,325.13,803915,0
TSLA.US,5,20200813,165500,325.12,327,324.62,326.23,813980,0
TSLA.US,5,20200813,170000,326.37,327.43,326.03,327.43,518440,0
TSLA.US,5,20200813,170500,327.31,327.98,326.4,327.08,504525,0
TSLA.US,5,20200813,171000,326.99,326.99,324.26,325.05,732985,0
TSLA.US,5,20200813,171500,325.14,326.96,324.85,325.87,434625,0
TSLA.US,5,20200813,172000,325.94,327.76,325.4,327.52,537000,0
TSLA.US,5,20200813,172500,327.46,327.72,325.6,326.19,652440,0
TSLA.US,5,20200813,173000,326.33,326.78,324.57,324.72,582135,0
TSLA.US,5,20200813,173500,324.78,326.8,324.64,326.02,564505,0
TSLA.US,5,20200813,174000,326.09,326.59,325.22,325.72,245830,0
TSLA.US,5,20200813,174500,325.72,328.8,325.62,328.48,673875,0
TSLA.US,5,20200813,175000,328.49,329.34,327.67,328.73,745660,0
TSLA.US,5,20200813,175500,328.75,329.8,327.69,329.77,666235,0
TSLA.US,5,20200813,180000,329.7,329.8,328.42,328.74,531035,0
TSLA.US,5,20200813,180500,328.73,329.3,327.34,328.07,542525,0
TSLA.US,5,20200813,181000,328.12,328.8,327.6,327.93,305200,0
TSLA.US,5,20200813,181500,327.89,328.37,326.32,326.84,522670,0
TSLA.US,5,20200813,182000,326.73,327.74,326.73,327.5,222965,0
TSLA.US,5,20200813,182500,327.67,329.34,327.62,328.88,429985,0
TSLA.US,5,20200813,183000,328.87,329.38,328.49,329.05,300105,0
TSLA.US,5,20200813,183500,329.14,329.14,328.29,328.5,188090,0
TSLA.US,5,20200813,184000,328.49,328.75,327.62,328,169770,0
TSLA.US,5,20200813,184500,328.09,329.2,327.86,329.09,241990,0
TSLA.US,5,20200813,185000,329.01,329.2,328.14,328.46,204110,0
TSLA.US,5,20200813,185500,328.26,329,328.16,328.86,216990,0
TSLA.US,5,20200813,190000,328.77,330,328.34,328.5,940260,0
TSLA.US,5,20200813,190500,328.37,328.53,327.2,327.59,652660,0
TSLA.US,5,20200813,191000,327.6,328.6,327.55,327.76,235430,0
TSLA.US,5,20200813,191500,327.73,327.84,325.49,327.02,674500,0
TSLA.US,5,20200813,192000,327.12,327.14,324.91,324.94,298870,0
TSLA.US,5,20200813,192500,324.89,326.74,324.8,326.72,413405,0
TSLA.US,5,20200813,193000,326.58,327.16,325.3,325.4,327740,0
TSLA.US,5,20200813,193500,325.41,326.47,324.94,326.02,366670,0
TSLA.US,5,20200813,194000,326.05,326.53,325.43,325.43,191430,0
TSLA.US,5,20200813,194500,325.54,326.03,325.03,325.47,275830,0
