<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLA.US,5,20201001,201000,443.31,445.25,443.2,445.06,445879,0
TSLA.US,5,20201001,201500,445.06,445.06,443.57,444.51,317747,0
TSLA.US,5,20201001,202000,444.57,446.5,444.4,446.17,499915,0
TSLA.US,5,20201001,202500,446.185,446.66,445.67,446.065,324162,0
TSLA.US,5,20201001,203000,446.03,446.5,444.64,445.67,272901,0
TSLA.US,5,20201001,203500,445.665,446.3,445.3,445.752,220412,0
TSLA.US,5,20201001,204000,445.79,446.4,445.5,446.174,201275,0
TSLA.US,5,20201001,204500,446.23,446.48,445.258,445.46,266331,0
TSLA.US,5,20201001,205000,445.59,447.08,445.555,447.02,359818,0
TSLA.US,5,20201001,205500,446.998,447.26,446.44,446.699,345873,0
TSLA.US,5,20201001,210000,446.73,447.1,446.49,446.594,219897,0
TSLA.US,5,20201001,210500,446.578,446.99,445.76,446.08,188164,0
TSLA.US,5,20201001,211000,446.11,446.53,445.31,445.859,242150,0
TSLA.US,5,20201001,211500,445.823,447.03,445.15,446.838,355030,0
TSLA.US,5,20201001,212000,446.82,447.18,446.23,446.48,269598,0
TSLA.US,5,20201001,212500,446.52,447.1,445.805,447,267947,0
TSLA.US,5,20201001,213000,447.035,448.88,446.95,448.53,755085,0
TSLA.US,5,20201001,213500,448.55,448.68,446.4,448.202,534626,0
TSLA.US,5,20201001,214000,448.24,448.75,447.75,447.875,407650,0
TSLA.US,5,20201001,214500,447.82,448.048,446.59,446.89,376541,0
TSLA.US,5,20201001,215000,446.88,448.8,446.88,448.2,519913,0
TSLA.US,5,20201001,215500,448.19,448.5,447.62,448.16,1205913,0
<TSLA.US,20,HIGH>
